,Brewery_ID,Name,Type,ABV,IBU,Rating,Rating_Count
240,48,Black Metal Farmhouse Imperial Stout,Stout - Russian Imperial,"
10.8% ABV ","
N/A IBU ",(3.92),"
20,178 Ratings "
241,48,Le Petit Prince ,Table Beer,"
2.9% ABV ","
30 IBU ",(3.5),"
16,867 Ratings "
242,48,Noble King,Farmhouse Ale - Saison,"
5.9% ABV ","
N/A IBU ",(3.81),"
16,057 Ratings "
243,48,Das Wunderkind!,Farmhouse Ale - Saison,"
4.5% ABV ","
N/A IBU ",(3.85),"
13,984 Ratings "
244,48,Wytchmaker Farmhouse Rye IPA,IPA - Farmhouse,"
6% ABV ","
71 IBU ",(3.86),"
12,734 Ratings "
245,49,Citra SMaSH IPA,IPA - American,"
7.4% ABV ","
60 IBU ",(3.82),"
4,922 Ratings "
246,49,Coffee Porter,Porter - Coffee,"
6.3% ABV ","
30 IBU ",(3.84),"
2,766 Ratings "
247,49,Simcoe Pale Ale,Pale Ale - American,"
5.4% ABV ","
34 IBU ",(3.61),"
2,004 Ratings "
248,49,Fuzzieluscious,IPA - American,"
6.4% ABV ","
40 IBU ",(3.78),"
1,292 Ratings "
249,49,Belgian Pale Ale (BPA),Pale Ale - Belgian,"
9.7% ABV ","
49 IBU ",(3.61),"
1,270 Ratings "
250,50,Meta Modern Session IPA,IPA - Session / India Session Ale,"
4.5% ABV ","
45 IBU ",(3.69),"
18,607 Ratings "
251,50,Slow Ride,Pale Ale - American,"
4.8% ABV ","
32 IBU ",(3.55),"
9,616 Ratings "
252,50,London Homesick Ale,English Bitter,"
4.9% ABV ","
27 IBU ",(3.45),"
9,286 Ratings "
253,50,Luchesa Lager,Kellerbier / Zwickelbier,"
4.8% ABV ","
35 IBU ",(3.36),"
7,739 Ratings "
254,50,ProtoModern IPA,IPA - American,"
7.1% ABV ","
75 IBU ",(3.73),"
3,073 Ratings "
255,51,Panzer IPA,IPA - American,"
N/A ABV ","
N/A IBU ",(3.59),"
16 Ratings "
256,51,Fat Bottom Blonde,Blonde Ale,"
N/A ABV ","
N/A IBU ",(3.43),"
10 Ratings "
257,51,Hill Country Hefeweizen,Hefeweizen,"
N/A ABV ","
N/A IBU ",(N/A),"
8 Ratings "
258,51,Route Irish Red,Red Ale - Irish,"
N/A ABV ","
N/A IBU ",(N/A),"
4 Ratings "
259,51,All American Pilsner,Porter - American,"
N/A ABV ","
N/A IBU ",(N/A),"
3 Ratings "
260,52,Funky Monkey IPA,IPA - American,"
7.7% ABV ","
54 IBU ",(3.75),"
660 Ratings "
261,52,Moxey Monkey,IPA - New England,"
 5.5% ABV ","
54 IBU ",(3.72),"
499 Ratings "
262,52,Monkey Wrench Session IPA,IPA - Session / India Session Ale,"
5.5% ABV ","
54 IBU ",(3.55),"
452 Ratings "
263,52,Monkey Tail,Pale Ale - American,"
5.6% ABV ","
41 IBU ",(3.52),"
418 Ratings "
264,52,Punk Monkey Porter,Porter - American,"
5.6% ABV ","
30 IBU ",(3.65),"
413 Ratings "
265,53,Chupahopra,IPA - American,"
6.3% ABV ","
52 IBU ",(3.54),"
11,068 Ratings "
266,53,WHOA-MANGO,IPA - American,"
5.8% ABV ","
46 IBU ",(3.58),"
4,962 Ratings "
267,53,Austin Lager,Lager - Helles,"
5.2% ABV ","
19 IBU ",(3.36),"
4,474 Ratings "
268,53,Gulf Kölsch,Kölsch,"
5.1% ABV ","
20 IBU ",(3.52),"
3,475 Ratings "
269,53,Pitmaster Pilsner,Pilsner - Other,"
4.2% ABV ","
16 IBU ",(3.41),"
1,903 Ratings "
270,54,Dark Skies,Schwarzbier,"
4.9% ABV ","
N/A IBU ",(3.81),"
1,111 Ratings "
271,54,Le Saison,Farmhouse Ale - Saison,"
6.6% ABV ","
N/A IBU ",(3.69),"
760 Ratings "
272,54,Adair,Kölsch,"
4.5% ABV ","
N/A IBU ",(3.63),"
527 Ratings "
273,54,Destination,IPA - American,"
6.5% ABV ","
45 IBU ",(3.62),"
532 Ratings "
274,54,Seeking Sakura,Brett Beer,"
6.3% ABV ","
N/A IBU ",(3.78),"
307 Ratings "
